订单ID,订单号,用户ID,note_id,笔记链接,类型,下单量,完成量,缺口量,原状态,现状态,清理批次,清理时间
6352,ORDER-1779807321325-579,3,6a07eb040000000035023c05,https://www.xiaohongshu.com/explore/6a07eb040000000035023c05,阅读,13000,4220,8780,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
6195,ORDER-1779807321307-422,3,6a1140be0000000035039575,https://www.xiaohongshu.com/explore/6a1140be0000000035039575,阅读,13000,4302,8698,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
6356,ORDER-1779807321325-583,3,69fedbad000000001f001778,https://www.xiaohongshu.com/explore/69fedbad000000001f001778,阅读,13000,4310,8690,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
6345,ORDER-1779807321324-572,3,6a029b39000000003501e46f,https://www.xiaohongshu.com/explore/6a029b39000000003501e46f,阅读,13000,4312,8688,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
6355,ORDER-1779807321325-582,3,69fb2012000000003601c4a6,https://www.xiaohongshu.com/explore/69fb2012000000003601c4a6,阅读,13000,4334,8666,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
4723,ORDER-1779768323691-052,3,6a13ffe10000000006036495,https://www.xiaohongshu.com/explore/6a13ffe10000000006036495,阅读,25000,16339,8661,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
6348,ORDER-1779807321324-575,3,6a02dfed00000000080019d2,https://www.xiaohongshu.com/explore/6a02dfed00000000080019d2,阅读,13000,4347,8653,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
6354,ORDER-1779807321325-581,3,69fb06440000000022027a1e,https://www.xiaohongshu.com/explore/69fb06440000000022027a1e,阅读,13000,4349,8651,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
6347,ORDER-1779807321324-574,3,6a03ffeb0000000007026bcf,https://www.xiaohongshu.com/explore/6a03ffeb0000000007026bcf,阅读,13000,4352,8648,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
6353,ORDER-1779807321325-580,3,69fafc2f000000001f007b5d,https://www.xiaohongshu.com/explore/69fafc2f000000001f007b5d,阅读,13000,4397,8603,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
6351,ORDER-1779807321325-578,3,69faff6f000000003701c9e3,https://www.xiaohongshu.com/explore/69faff6f000000003701c9e3,阅读,13000,4491,8509,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5535,ORDER-1779781696400-129,3,6a0d6b4600000000360328a5,https://www.xiaohongshu.com/explore/6a0d6b4600000000360328a5,阅读,15000,6715,8285,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5538,ORDER-1779784568835-003,3,6a15493a000000003601f78a,https://www.xiaohongshu.com/explore/6a15493a000000003601f78a,阅读,14000,5990,8010,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
6322,ORDER-1779807321322-549,3,6a1577110000000035023426,https://www.xiaohongshu.com/explore/6a1577110000000035023426,阅读,12000,4177,7823,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
6297,ORDER-1779807321320-524,3,6a153940000000003700d661,https://www.xiaohongshu.com/explore/6a153940000000003700d661,阅读,12000,4205,7795,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
6374,ORDER-1779807321330-601,3,6a1558e7000000003502b4c2,https://www.xiaohongshu.com/explore/6a1558e7000000003502b4c2,阅读,12000,4325,7675,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
6375,ORDER-1779807321330-602,3,6a1584060000000035023d03,https://www.xiaohongshu.com/explore/6a1584060000000035023d03,阅读,12000,4351,7649,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
4722,ORDER-1779768323691-051,3,6a103350000000000603207a,https://www.xiaohongshu.com/explore/6a103350000000000603207a,阅读,23000,16347,6653,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
6193,ORDER-1779807321306-420,3,6a12b09b00000000080007fa,https://www.xiaohongshu.com/explore/6a12b09b00000000080007fa,阅读,11000,4388,6612,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5760,ORDER-1779788398867-006,3,6a1417de000000003501cbb9,https://www.xiaohongshu.com/explore/6a1417de000000003501cbb9,阅读,12000,5728,6272,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5762,ORDER-1779788398867-008,3,6a0ff107000000000803e582,https://www.xiaohongshu.com/explore/6a0ff107000000000803e582,阅读,12000,5808,6192,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5761,ORDER-1779788398867-007,3,6a14f3db00000000070252ed,https://www.xiaohongshu.com/explore/6a14f3db00000000070252ed,阅读,12000,5818,6182,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5758,ORDER-1779788398867-004,3,6a1406880000000038020325,https://www.xiaohongshu.com/explore/6a1406880000000038020325,阅读,12000,5947,6053,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5763,ORDER-1779788398867-009,3,6a14f9d1000000000803ed88,https://www.xiaohongshu.com/explore/6a14f9d1000000000803ed88,阅读,12000,5954,6046,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5764,ORDER-1779788398868-010,3,6a1502910000000007023dea,https://www.xiaohongshu.com/explore/6a1502910000000007023dea,阅读,12000,5965,6035,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5766,ORDER-1779788398868-012,3,6a1546a200000000350210dc,https://www.xiaohongshu.com/explore/6a1546a200000000350210dc,阅读,12000,5981,6019,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5765,ORDER-1779788398868-011,3,6a153e38000000003700f0f1,https://www.xiaohongshu.com/explore/6a153e38000000003700f0f1,阅读,12000,6074,5926,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
